****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
clknet_0_clk                1.80    0.216    0.000    0.0000      0.0000  a
clknet_0_net48              1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net49              1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net50              1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net52              1.80    0.021    0.000    0.0000      0.0000  a
clknet_0_net54              1.80    0.020    0.900    0.25e-4     0.0000  a
clknet_0_net56              1.80    0.023    0.000    0.0000      0.0000  a
clknet_0_net57              1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net60              1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net62              1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net67              1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net145             1.80    0.019    0.100    0.25e-4     0.0000  a
clknet_0_net153             1.80    0.018    1.000    0.0000      0.0000  a
clknet_0_net171             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net179             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net181             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net182             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net184             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net185             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net188             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net191             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net238             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net245             1.80    0.019    1.000    0.0000      0.0000  a
clknet_0_net246             1.80    0.024    1.000    0.0000      0.0000  a
clknet_0_net250             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net251             1.80    0.017    -1.000   0.0000      0.0000  a
clknet_0_net253             1.80    0.017    -1.000   0.0000      0.0000  a
clknet_0_net257             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net273             1.80    0.021    -1.000   0.0000      0.0000  a
