****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net240                      1.80    0.017    0.612    0.0001   2.807e-09  a
clknet_0_net483             1.80    0.021    0.213    0.81e-4  2.789e-09  a
net1046                     1.80    0.082    0.422    0.20e-4  2.773e-09  a
net17                       1.80    0.047    0.033    0.36e-4  2.735e-09  a
net317                      1.80    0.038    0.000    0.44e-4  2.728e-09  a
net975                      1.80    0.071    0.000    0.23e-4  2.682e-09  a
clknet_0_net369             1.80    0.021    0.458    0.78e-4  2.674e-09  a
net324                      1.80    0.024    0.436    0.66e-4  2.580e-09  a
clknet_0_net177             1.80    0.019    0.064    0.83e-4  2.564e-09  a
net83                       1.80    0.034    0.946    0.46e-4  2.534e-09  a
net871                      1.80    0.009    0.492    0.0002   2.516e-09  a
clknet_1_0__leaf_net177     1.80    0.019    0.064    0.83e-4  2.511e-09  a
net1047                     1.80    0.073    0.422    0.20e-4  2.498e-09  a
net483                      1.80    0.019    0.213    0.81e-4  2.487e-09  a
net443                      1.80    0.027    0.506    0.55e-4  2.465e-09  a
net206                      1.80    0.016    0.225    0.92e-4  2.455e-09  a
net23                       1.80    0.022    0.037    0.66e-4  2.400e-09  a
net881                      1.80    0.007    0.503    0.0002   2.357e-09  a
net116                      1.80    0.022    0.839    0.67e-4  2.335e-09  a
net71                       1.80    0.030    0.078    0.47e-4  2.291e-09  a
net38                       1.80    0.028    0.186    0.51e-4  2.289e-09  a
net921                      1.80    0.010    0.487    0.0001   2.262e-09  a
net1049                     1.80    0.066    0.422    0.20e-4  2.259e-09  a
net1050                     1.80    0.065    0.422    0.20e-4  2.210e-09  a
net887                      1.80    0.012    0.536    0.0001   2.190e-09  a
net988                      1.80    0.112    0.996    0.12e-4  2.181e-09  a
net946                      1.80    0.018    0.144    0.76e-4  2.144e-09  a
net886                      1.80    0.032    0.383    0.40e-4  2.114e-09  a
net1106                     1.80    0.007    0.746    0.0002   2.114e-09  a
net901                      1.80    0.006    0.512    0.0002   2.113e-09  a
net310                      1.80    0.033    0.000    0.38e-4  2.080e-09  a
clknet_1_0__leaf_net331     1.80    0.026    0.000    0.48e-4  2.048e-09  a
net911                      1.80    0.014    0.467    0.89e-4  2.031e-09  a
net312                      1.80    0.024    0.000    0.50e-4  1.964e-09  a
net986                      1.80    0.069    0.000    0.17e-4  1.964e-09  a
clknet_1_1__leaf_net177     1.80    0.015    0.064    0.83e-4  1.950e-09  a
net78                       1.80    0.060    0.981    0.20e-4  1.950e-09  a
net959                      1.80    0.021    0.000    0.55e-4  1.907e-09  a
net1071                     1.80    0.072    0.981    0.16e-4  1.859e-09  a
net874                      1.80    0.011    0.461    0.0001   1.845e-09  a
net910                      1.80    0.012    0.544    0.91e-4  1.841e-09  a
net230                      1.80    0.013    0.872    0.84e-4  1.839e-09  a
net12                       1.80    0.067    0.982    0.17e-4  1.830e-09  a
net916                      1.80    0.029    0.534    0.38e-4  1.794e-09  a
net115                      1.80    0.020    0.858    0.56e-4  1.787e-09  a
net1069                     1.80    0.006    0.708    0.0002   1.785e-09  a
net1048                     1.80    0.051    0.422    0.20e-4  1.721e-09  a
net131                      1.80    0.026    0.068    0.40e-4  1.713e-09  a
net314                      1.80    0.011    0.638    0.93e-4  1.711e-09  a
net1078                     1.80    0.014    0.886    0.77e-4  1.696e-09  a
net982                      1.80    0.059    0.000    0.17e-4  1.677e-09  a
net1083                     1.80    0.049    0.422    0.20e-4  1.673e-09  a
clknet_0_net959             1.80    0.018    0.000    0.55e-4  1.626e-09  a
net135                      1.80    0.005    0.547    0.0002   1.618e-09  a
net634                      1.80    0.010    0.325    0.98e-4  1.607e-09  a
net316                      1.80    0.018    0.000    0.55e-4  1.591e-09  a
net84                       1.80    0.035    0.965    0.28e-4  1.590e-09  a
net900                      1.80    0.031    0.468    0.30e-4  1.568e-09  a
net419                      1.80    0.055    0.000    0.17e-4  1.565e-09  a
net88                       1.80    0.029    0.958    0.33e-4  1.561e-09  a
net248                      1.80    0.007    0.381    0.0001   1.560e-09  a
clknet_0_net52              1.80    0.021    0.000    0.46e-4  1.559e-09  a
net5                        1.80    0.019    0.941    0.50e-4  1.554e-09  a
net369                      1.80    0.012    0.458    0.78e-4  1.486e-09  a
net26                       1.80    0.009    0.186    0.0001   1.477e-09  a
net67                       1.80    0.010    0.308    0.94e-4  1.467e-09  a
net197                      1.80    0.019    0.940    0.47e-4  1.457e-09  a
net1107                     1.80    0.005    0.746    0.0002   1.448e-09  a
clknet_0_net331             1.80    0.018    0.000    0.48e-4  1.446e-09  a
net16                       1.80    0.012    0.895    0.73e-4  1.434e-09  a
net442                      1.80    0.012    0.000    0.73e-4  1.426e-09  a
net1105                     1.80    0.044    0.981    0.20e-4  1.423e-09  a
net9                        1.80    0.011    0.069    0.81e-4  1.420e-09  a
clknet_1_1__leaf_net369     1.80    0.011    0.458    0.78e-4  1.417e-09  a
clknet_0_net332             1.80    0.019    0.000    0.46e-4  1.407e-09  a
