****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_0
Version: Q-2019.12-SP1
Date   : Thu Aug 29 17:42:40 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net43                       1.80    0.004    0.198    0.96e-4  6.569e-10  a
net143                      1.80    0.005    0.124    0.74e-4  6.230e-10  a
net37                       1.80    0.010    0.124    0.39e-4  5.935e-10  a
net129                      1.80    0.026    0.022    0.13e-4  5.403e-10  a
net654                      1.80    0.003    0.100    0.0001   5.008e-10  a
net125                      1.80    0.003    0.610    0.86e-4  4.774e-10  a
net361                      1.80    0.007    0.560    0.43e-4  4.598e-10  a
clknet_1_1__leaf_net56      1.80    0.003    0.338    0.86e-4  4.585e-10  a
net902                      1.80    0.017    0.365    0.15e-4  4.164e-10  a
clknet_1_0__leaf_net145     1.80    0.006    0.045    0.42e-4  4.130e-10  a
net239                      1.80    0.002    0.168    0.0001   4.125e-10  a
net958                      1.80    0.003    0.503    0.81e-4  3.721e-10  a
net911                      1.80    0.015    0.465    0.15e-4  3.529e-10  a
net905                      1.80    0.014    0.528    0.15e-4  3.382e-10  a
net326                      1.80    0.003    0.122    0.74e-4  3.368e-10  a
net358                      1.80    0.008    0.240    0.27e-4  3.308e-10  a
net235                      1.80    0.002    0.111    0.82e-4  3.135e-10  a
net120                      1.80    0.003    0.052    0.70e-4  3.009e-10  a
net219                      1.80    0.003    0.073    0.70e-4  2.954e-10  a
net640                      1.80    0.005    0.047    0.39e-4  2.886e-10  a
net227                      1.80    0.003    0.094    0.51e-4  2.881e-10  a
net355                      1.80    0.003    0.035    0.55e-4  2.714e-10  a
out29                       1.80    0.001    0.662    0.0002   2.475e-10  a
net132                      1.80    0.004    0.035    0.38e-4  2.269e-10  a
net256                      1.80    0.006    0.037    0.24e-4  2.250e-10  a
net140                      1.80    0.066    0.003    0.22e-5  2.125e-10  a
clknet_1_1__leaf_net145     1.80    0.003    0.045    0.42e-4  2.015e-10  a
net336                      1.80    0.004    0.004    0.26e-4  1.652e-10  a
net285                      1.80    0.002    0.081    0.45e-4  1.447e-10  a
net127                      1.80    0.025    0.004    0.37e-5  1.414e-10  a
net130                      1.80    0.054    0.003    0.17e-5  1.317e-10  a
clknet_0_net251             1.80    0.019    0.003    0.42e-5  1.261e-10  a
out45                       1.80    0.001    0.503    0.81e-4  1.119e-10  a
net325                      1.80    0.003    0.000    0.15e-4  8.230e-11  a
net632                      1.80    0.003    0.016    0.17e-4  7.043e-11  a
clknet_1_0__leaf_net251     1.80    0.010    0.003    0.42e-5  6.698e-11  a
net251                      1.80    0.009    0.003    0.42e-5  5.993e-11  a
clknet_1_1__leaf_net251     1.80    0.008    0.003    0.42e-5  5.204e-11  a
clknet_0_net257             1.80    0.021    0.000    0.17e-5  4.982e-11  a
net257                      1.80    0.013    0.000    0.17e-5  3.131e-11  a
clknet_1_0__leaf_net257     1.80    0.009    0.000    0.17e-5  2.270e-11  a
clknet_1_1__leaf_net257     1.80    0.007    0.000    0.17e-5  1.654e-11  a
net252                      1.80    0.006    0.000    0.12e-5  1.034e-11  a
net142                      1.80    0.005    0.000    0.25e-6  4.301e-12  a
net158                      1.80    0.002    0.002    0.12e-5  3.762e-12  a
net337                      1.80    0.004    0.000    0.75e-6  3.485e-12  a
net148                      1.80    0.003    0.000    0.75e-6  2.425e-12  a
clknet_0_net48              1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net49              1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net50              1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net52              1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net54              1.80    0.025    -1.000   0.0000      0.0000  a
clknet_0_net57              1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net60              1.80    0.020    -1.000   0.0000      0.0000  a
